"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"Февр. '14","108,13","108,13","108,13","108,13","-","0,76%"
"Янв. '14","107,31","107,31","107,31","107,31","-","-1,32%"
"Дек. '13","108,75","108,75","108,75","108,75","-","-1,78%"
"Нояб. '13","110,72","110,72","110,72","110,72","-","3,98%"
"Окт. '13","106,48","106,48","106,48","106,48","-","-0,49%"
"Сент. '13","107,00","107,00","107,00","107,00","-","-7,58%"
"Авг. '13","115,77","115,77","115,77","115,77","-","6,66%"
"Июль '13","108,54","108,54","108,54","108,54","-","6,10%"
"Июнь '13","102,30","102,30","102,30","102,30","-","2,32%"
"Май '13","99,98","99,98","99,98","99,98","-","-1,39%"
"Апр. '13","101,39","101,39","101,39","101,39","-","-5,74%"
"Март '13","107,56","107,56","107,56","107,56","-","-1,60%"
"Февр. '13","109,31","109,31","109,31","109,31","-","-5,63%"
"Янв. '13","115,83","115,83","115,83","115,83","-","5,68%"
"Дек. '12","109,60","109,60","109,60","109,60","-","-0,63%"
"Нояб. '12","110,29","110,29","110,29","110,29","-","0,77%"
"Окт. '12","109,45","109,45","109,45","109,45","-","-0,37%"
"Сент. '12","109,86","109,86","109,86","109,86","-","-3,36%"
"Авг. '12","113,68","113,68","113,68","113,68","-","7,31%"
"Июль '12","105,94","105,94","105,94","105,94","-","13,40%"
"Июнь '12","93,42","93,42","93,42","93,42","-","-7,52%"
"Май '12","101,02","101,02","101,02","101,02","-","-13,96%"
"Апр. '12","117,41","117,41","117,41","117,41","-","-2,81%"
"Март '12","120,81","120,81","120,81","120,81","-","-0,31%"
"Февр. '12","121,18","121,18","121,18","121,18","-","9,61%"
"Янв. '12","110,56","110,56","110,56","110,56","-","4,46%"
"Дек. '11","105,84","105,84","105,84","105,84","-","-5,09%"
"Нояб. '11","111,52","111,52","111,52","111,52","-","2,66%"
"Окт. '11","108,63","108,63","108,63","108,63","-","4,33%"
"Сент. '11","104,12","104,12","104,12","104,12","-","-10,30%"
"Авг. '11","116,08","116,08","116,08","116,08","-","1,80%"
"Июль '11","114,03","114,03","114,03","114,03","-","3,70%"
"Июнь '11","109,96","109,96","109,96","109,96","-","-3,71%"
"Май '11","114,20","114,20","114,20","114,20","-","-7,15%"
"Апр. '11","122,99","122,99","122,99","122,99","-","8,72%"
"Март '11","113,13","113,13","113,13","113,13","-","2,41%"
"Февр. '11","110,47","110,47","110,47","110,47","-","16,20%"
"Янв. '11","95,07","95,07","95,07","95,07","-","3,70%"
