DATE,NAEXKP01RUQ657S
2003-04-01,1.11543654178645
2003-07-01,1.6881671836908
2003-10-01,1.82381876906662
2004-01-01,1.87866693122118
2004-04-01,1.92718404124747
2004-07-01,1.51453519398964
2004-10-01,1.11817078378303
2005-01-01,1.74808205860745
2005-04-01,1.52229517161717
2005-07-01,1.76220494563353
2005-10-01,2.06284047375402
2006-01-01,1.9306052048209
2006-04-01,1.92510395368192
2006-07-01,2.29612916559267
2006-10-01,1.89924051314823
2007-01-01,1.81365093342123
2007-04-01,2.52379818966115
2007-07-01,2.20511037986161
2007-10-01,3.19383216116284
2008-01-01,2.65317182172028
2008-04-01,0.621602394245459
2008-07-01,-1.49066859696993
2008-10-01,-3.25221148394774
2009-01-01,-3.52698175804678
2009-04-01,-1.45886078138826
2009-07-01,0.410425161133587
2009-10-01,1.08170845558764
2010-01-01,2.13846202136447
2010-04-01,0.950099061724123
2010-07-01,0.523512524998781
2010-10-01,1.25698002958882
2011-01-01,1.15515831330929
2011-04-01,0.947690943391074
2011-07-01,1.15133717397593
2011-10-01,1.20768222328757
2012-01-01,1.57029648140625
2012-04-01,0.38707392272777
2012-07-01,0.516147563527177
2012-10-01,0.067384630566427
2013-01-01,0.740663421946093
2013-04-01,0.340510666436724
2013-07-01,0.0405285515328982
2013-10-01,0.577354817008755
2014-01-01,-0.00746083334849632
2014-04-01,0.48161520026242
2014-07-01,-0.318118910773658
2014-10-01,-0.235289924781316
2015-01-01,-1.01722250778629
2015-04-01,-0.669807616972234
2015-07-01,0.193525875415576
2015-10-01,-0.257791316695151
2016-01-01,0.19005752381318
2016-04-01,0.0538487407001573
2016-07-01,0.100716463543844
2016-10-01,0.82510593831191
2017-01-01,0.20168498181817
2017-04-01,0.690456285048669
2017-07-01,0.679484491625591
2017-10-01,0.0209946426563371
2018-01-01,1.35603219053757
2018-04-01,0.557946539970193
2018-07-01,0.241368820842387
2018-10-01,0.66396654773387
2019-01-01,-0.0380778509055375
2019-04-01,2.26171955380441
2019-07-01,-0.978355600711896
2019-10-01,-0.452487733673624
2020-01-01,-0.196323317730843
2020-04-01,-4.4850020737847
2020-07-01,2.77807859989866
2020-10-01,0.739743223532508
2021-01-01,0.680789325884767
2021-04-01,3.19093374085946
2021-07-01,-0.794505894890777
